Species,Category,Period,Annual percentage change
Lesser Spotted Woodpecker (Dendrocopos minor),Woodland birds,(1970-2014),-3.98
Marsh Tit (Poecile palustris),Woodland birds,(1970-2014),-2.83
Nightingale (Luscinia megarhynchos),Woodland birds,(1995-2014),-2.62
Nuthatch (Sitta europaea),Woodland birds,(1970-2014),2.94
Lesser Redpoll (Carduelis cabaret),Woodland birds,(1970-2014),-4.33
Redstart (Phoenicurus phoenicurus),Woodland birds,(1970-2014),1.21
Sparrowhawk (Accipiter nisus),Woodland birds,(1970-2014),1.51
Spotted Flycatcher (Muscicapa striata),Woodland birds,(1970-2014),-4.45
Tree Pipit (Anthus trivialis),Woodland birds,(1970-2014),-2.5
Treecreeper (Certhia familiaris),Woodland birds,(1970-2014),-0.29
Willow Tit (Poecile montana),Woodland birds,(1970-2014),-5.73
Willow Warbler (Phylloscopus trochilus),Woodland birds,(1970-2014),-1.22
Pied Flycatcher (Ficedula hypoleuca),Woodland birds,(1995-2014),-3.15
Wood Warbler (Phylloscopus sibilatrix),Woodland birds,(1995-2014),-4.07
Common Crossbill (Loxia curvirostra),Woodland birds,(1995-2014),0.38
Siskin (Carduelis spinus),Woodland birds,(1995-2014),2.26
Capercaillie (Tetrao urogallus),Woodland birds,(1970-2014),-4.94
Arctic Skua (Stercorarius parasiticus),Seabirds,(1986-2014),-5.58
Black-legged kittiwake (Rissa tridactyla),Seabirds,(1986-2014),-3.37
Common guillemot (Uria aalge),Seabirds,(1986-2014),1.61
European shag (Phalacrocorax artistotelis),Seabirds,(1986-2014),-2.31
Great Black-backed Gull (Larus marinus),Seabirds,(1986-2014),0.24
Great cormorant (Phalacrocorax carbo),Seabirds,(1986-2014),-0.26
Herring Gull (Larus argentatus),Seabirds,(1986-2014),-0.62
Northern fulmar (Fulmarus glacialis),Seabirds,(1986-2014),-0.9
Common Tern (Sterna hirundo),Seabirds,(1986-2014),-1.27
Sandwich Tern (Sterna sandvicensis),Seabirds,(1986-2014),0.16
Little Tern (Sternula albifrons),Seabirds,(1986-2014),-0.46
Arctic Tern (Sterna paradisaea),Seabirds,(1986-2014),1.17
Razorbill (Alca torda),Seabirds,(1986-2014),1.64
Common Sandpiper (Actitis hypoleucos),Water and wetland birds,(1975-2014),-1.61
Dipper (Cinclus cinclus),Water and wetland birds,(1975-2014),-0.84
Goosander (Mergus merganser),Water and wetland birds,(1981-2015),2.43
Grey Wagtail (Motacilla cinerea,Water and wetland birds,(1975-2014),-1.55
Cetti's Warbler (Cettia cetti),Water and wetland birds,(1989-2015),7.42
Reed Bunting (Emberiza schoeniclus),Water and wetland birds,(1975-2014),-2.6
Reed Warbler (Acrocephalus scirpaceus),Water and wetland birds,(1981-2015),1.72
Sedge Warbler (Acrocephalus schoenobaenus),Water and wetland birds,(1975-2014),-1.31
Coot (Fulica atra),Water and wetland birds,(1975-2014),1.39
Great Crested Grebe (Podiceps cristatus),Water and wetland birds,(1995-2015),-0.36
Little Grebe (Tachybaptus ruficollis),Water and wetland birds,(1975-2014),-0.95
Mallard (Anas platyrhynchos),Water and wetland birds,(1975-2014),2.96
Moorhen (Gallinula chloropus),Water and wetland birds,(1975-2014),-0.92
Tufted Duck (Aythya fuligula),Water and wetland birds,(1975-2014),1.76
Curlew (Numenius arquata),Water and wetland birds,(1980-2015),-0.61
Lapwing (Vanellus vanellus),Water and wetland birds,(1980-2015),-2.03
Little Egret (Egretta garzetta),Water and wetland birds,(2009-2014),4.76
Mute Swan (Cygnus olor),Water and wetland birds,(1975-2014),1.65
Redshank (Tringa totanus),Water and wetland birds,(1975-2014),-1.98
Snipe (Gallinago gallinago),Water and wetland birds,(1975-2014),-4.3
Teal (Anas crecca),Water and wetland birds,(1995-2015),2.66
Yellow Wagtail (Motacilla flava),Water and wetland birds,(1975-2014),-8.81
Grey Heron (Ardea cinerea),Water and wetland birds,(1975-2014),1.41
Kingfisher (Alcedo atthis),Water and wetland birds,(1975-2014),0.06
Oystercatcher (Haematopus ostralegus),Water and wetland birds,(1975-2014),0
Sand Martin (Riparia riparia),Water and wetland birds,(1978-2014),0
Avocet (Recurvirostra avosetta),Other,(1990-2014),5.6
Bearded Tit (Panurus biarmicus),Other,(1977-2014),0.78
Black-headed Gull (Chroicocephalus ridibundus),Other,(1970-2014),0.56
Buzzard (Buteo buteo),Other,(1970-2014),3.96
Carrion Crow (Corvus corone),Other,(1970-2014),1.58
Cirl Bunting (Emberiza cirlus),Other,(2001-2014),4.52
Collared Dove (Streptopelia decaocto),Other,(1970-2014),5.2
Corncrake (Crex crex),Other,(1970-2014),-1.71
Cuckoo (Cuculus canorus),Other,(1970-2014),-1.86
Dartford Warbler (Sylvia undata),Other,(1975-2014),1.15
Firecrest (Regulus ignicapilla),Other,(2007-2014),21.77
Gadwall (Anas strepera),Other,(1995-2014),3.66
Golden Plover (Pluvialis apricaria),Other,(1995-2014),-0.92
Greylag Goose (Anser anser),Other,(1993-2014),7.03
Hen Harrier (Circus cyaneus),Other,(1991-2014),0.05
Hobby (Falco subbuteo),Other,(1995-2014),-0.53
Hooded Crow (Corvus cornix),Other,(1995-2014),0.93
House Martin (Delichon urbicum),Other,(1995-2014),-0.52
House Sparrow (Passer domesticus),Other,(1970-2014),-2.83
Magpie (Pica pica),Other,(1970-2014),1.59
Meadow Pipit (Anthus pratensis),Other,(1970-2014),-0.98
Mediterranean Gull (Larus melanocephalus),Other,(2007-2014),3.72
Mistle Thrush (Turdus viscivorus),Other,(1970-2014),-1.9
Peregrine (Falco peregrinus),Other,(1970-2014),2.54
Pied/White Wagtail (Motacilla alba),Other,(1970-2014),0.69
Pochard (Aythya ferina),Other,(1993-2014),2.48
Quail (Coturnix coturnix),Other,(1990-2014),-1.21
Raven (Corvus corax),Other,(1995-2014),1.71
Red Grouse (Lagopus lagopus scotica),Other,(1995-2014),0.91
Red Kite (Milvus milvus),Other,(2004-2014),14.43
Red-breasted Merganser (Mergus serrator),Other,(1970-2014),4.62
Shelduck (Tadorna tadorna),Other,(1995-2014),-0.52
Shoveler (Anas clypeata),Other,(2007-2014),1.01
Stonechat (Saxicola rubicola),Other,(1995-2014),1.27
Swallow (Hirundo rustica),Other,(1970-2014),0.32
Swift (Apus apus),Other,(1995-2014),-3.26
Whinchat (Saxicola rubetra),Other,(1995-2014),-3.96
Woodlark (Lullula arborea),Other,(1993-2014),3.32
